accession	runtype	species	genome_size
SRX1843589	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX7899961	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX2242071	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014420	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256910	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3447559	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX5242911	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX16455793	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13297670	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9860234	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459313	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014518	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843511	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10156036	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2746346	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155958	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3447747	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7862689	ont	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX22055639	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843225	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10156049	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8072141	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2504609	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155959	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4743712	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2242047	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161773	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10180670	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843506	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9582325	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX14598210	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459266	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256881	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5243325	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156660	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3836654	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3447718	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10563833	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1962216	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX8035026	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9999200	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1791913	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2372801	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1962255	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX5982003	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308741	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX2995126	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1116436	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
