accession	reason
SRX10062395	Failed mean read length (148 bp) filter, expected > 249 bp
SRX9006063	Failed mean read length (149 bp) filter, expected > 249 bp
SRX755347	Failed mean read length (96 bp) filter, expected > 249 bp
SRX10062409	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9094280	Failed mean read length (100 bp) filter, expected > 249 bp
SRX10062410	Failed mean read length (148 bp) filter, expected > 249 bp
SRX755355	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9094284	Failed mean read length (148 bp) filter, expected > 249 bp
SRX10062417	Failed mean read length (147 bp) filter, expected > 249 bp
SRX755356	Failed mean read length (96 bp) filter, expected > 249 bp
SRX9094302	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10062422	Failed mean read length (146 bp) filter, expected > 249 bp
SRX755357	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9094308	Failed mean read length (99 bp) filter, expected > 249 bp
SRX755376	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9140416	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10066128	Failed mean read length (220 bp) filter, expected > 249 bp
SRX755408	Failed mean read length (98 bp) filter, expected > 249 bp
SRX529445	Failed mean read length (227 bp) filter, expected > 249 bp
SRX10066249	Failed mean read length (148 bp) filter, expected > 249 bp
SRX755421	Failed mean read length (98 bp) filter, expected > 249 bp
SRX529447	Failed mean read length (199 bp) filter, expected > 249 bp
SRX10066258	Failed mean read length (147 bp) filter, expected > 249 bp
SRX755432	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9187883	Failed mean read length (148 bp) filter, expected > 249 bp
SRX755434	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9232113	Failed mean read length (149 bp) filter, expected > 249 bp
SRX10079886	Failed mean read length (148 bp) filter, expected > 249 bp
SRX9499242	Failed mean read length (136 bp) filter, expected > 249 bp
SRX10086604	Failed mean read length (147 bp) filter, expected > 249 bp
SRX755435	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9499684	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10087763	Failed mean read length (148 bp) filter, expected > 249 bp
SRX755436	Failed mean read length (96 bp) filter, expected > 249 bp
SRX10089426	Failed mean read length (149 bp) filter, expected > 249 bp
SRX9505079	Failed mean read length (229 bp) filter, expected > 249 bp
SRX10106091	Failed mean read length (148 bp) filter, expected > 249 bp
SRX755467	Failed mean read length (96 bp) filter, expected > 249 bp
SRX10106094	Failed mean read length (149 bp) filter, expected > 249 bp
SRX755497	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10107779	Failed mean read length (231 bp) filter, expected > 249 bp
SRX9506204	Failed mean read length (99 bp) filter, expected > 249 bp
SRX755502	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10121487	Failed mean read length (226 bp) filter, expected > 249 bp
SRX9506210	Failed mean read length (98 bp) filter, expected > 249 bp
SRX755508	Failed mean read length (96 bp) filter, expected > 249 bp
SRX9506225	Failed mean read length (141 bp) filter, expected > 249 bp
SRX755524	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9509484	Failed mean read length (99 bp) filter, expected > 249 bp
SRX755540	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9509491	Failed mean read length (99 bp) filter, expected > 249 bp
SRX755552	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9515916	Failed mean read length (149 bp) filter, expected > 249 bp
SRX755563	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9516466	Failed mean read length (139 bp) filter, expected > 249 bp
SRX10142265	Failed mean read length (97 bp) filter, expected > 249 bp
SRX755582	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9555523	Failed mean read length (149 bp) filter, expected > 249 bp
SRX10149221	Failed mean read length (232 bp) filter, expected > 249 bp
SRX10149273	Failed mean read length (228 bp) filter, expected > 249 bp
SRX9742764	Failed mean read length (241 bp) filter, expected > 249 bp
SRX755585	Failed mean read length (98 bp) filter, expected > 249 bp
SRX9748945	Failed mean read length (148 bp) filter, expected > 249 bp
SRX755588	Failed mean read length (98 bp) filter, expected > 249 bp
SRX755591	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10773144	Failed mean read length (148 bp) filter, expected > 249 bp
SRX10151097	Failed mean read length (216 bp) filter, expected > 249 bp
SRX755622	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10155748	Failed mean read length (237 bp) filter, expected > 249 bp
SRX685801	Failed mean read length (232 bp) filter, expected > 249 bp
SRX755655	Failed mean read length (98 bp) filter, expected > 249 bp
SRX685830	Failed mean read length (230 bp) filter, expected > 249 bp
SRX755659	Failed mean read length (98 bp) filter, expected > 249 bp
SRX11912896	Failed mean read length (148 bp) filter, expected > 249 bp
SRX11912895	Failed mean read length (147 bp) filter, expected > 249 bp
SRX755663	Failed mean read length (98 bp) filter, expected > 249 bp
SRX11912891	Failed mean read length (148 bp) filter, expected > 249 bp
SRX755665	Failed mean read length (96 bp) filter, expected > 249 bp
SRX11912880	Failed mean read length (147 bp) filter, expected > 249 bp
SRX11912878	Failed mean read length (148 bp) filter, expected > 249 bp
SRX755768	Failed mean read length (96 bp) filter, expected > 249 bp
SRX11912877	Failed mean read length (148 bp) filter, expected > 249 bp
SRX755769	Failed mean read length (98 bp) filter, expected > 249 bp
SRX701671	Failed mean read length (239 bp) filter, expected > 249 bp
SRX755780	Failed mean read length (98 bp) filter, expected > 249 bp
SRX12340887	Failed mean read length (100 bp) filter, expected > 249 bp
SRX12363959	Failed mean read length (99 bp) filter, expected > 249 bp
SRX755782	Failed mean read length (98 bp) filter, expected > 249 bp
SRX12881550	Failed mean read length (148 bp) filter, expected > 249 bp
SRX755784	Failed mean read length (96 bp) filter, expected > 249 bp
SRX13015148	Failed mean read length (98 bp) filter, expected > 249 bp
SRX13036008	Failed mean read length (96 bp) filter, expected > 249 bp
SRX755786	Failed mean read length (98 bp) filter, expected > 249 bp
SRX13036043	Failed mean read length (98 bp) filter, expected > 249 bp
SRX755796	Failed mean read length (98 bp) filter, expected > 249 bp
SRX13036049	Failed mean read length (97 bp) filter, expected > 249 bp
SRX755805	Failed mean read length (98 bp) filter, expected > 249 bp
SRX13036824	Failed mean read length (95 bp) filter, expected > 249 bp
SRX755947	Failed mean read length (185 bp) filter, expected > 249 bp
SRX13069232	Failed mean read length (148 bp) filter, expected > 249 bp
SRX13084582	Failed mean read length (148 bp) filter, expected > 249 bp
SRX755948	Failed mean read length (184 bp) filter, expected > 249 bp
SRX13103363	Failed mean read length (99 bp) filter, expected > 249 bp
SRX756878	Failed mean read length (230 bp) filter, expected > 249 bp
SRX13103774	Failed mean read length (95 bp) filter, expected > 249 bp
SRX13112968	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12693736	Failed mean read length (100 bp) filter, expected > 249 bp
SRX13119984	Failed mean read length (234 bp) filter, expected > 249 bp
SRX13133033	Failed mean read length (99 bp) filter, expected > 249 bp
SRX13133041	Failed mean read length (99 bp) filter, expected > 249 bp
SRX13133057	Failed mean read length (98 bp) filter, expected > 249 bp
SRX13133088	Failed mean read length (97 bp) filter, expected > 249 bp
SRX13133100	Failed mean read length (98 bp) filter, expected > 249 bp
SRX13133102	Failed mean read length (99 bp) filter, expected > 249 bp
SRX13143582	Failed mean read length (99 bp) filter, expected > 249 bp
SRX13143592	Failed mean read length (98 bp) filter, expected > 249 bp
SRX13143595	Failed mean read length (99 bp) filter, expected > 249 bp
SRX758465	Failed mean read length (238 bp) filter, expected > 249 bp
SRX13143599	Failed mean read length (100 bp) filter, expected > 249 bp
SRX13145992	Failed mean read length (147 bp) filter, expected > 249 bp
SRX12704494	Failed mean read length (146 bp) filter, expected > 249 bp
SRX799133	Failed mean read length (233 bp) filter, expected > 249 bp
SRX760521	Failed mean read length (234 bp) filter, expected > 249 bp
SRX799134	Failed mean read length (234 bp) filter, expected > 249 bp
SRX12744149	Failed mean read length (148 bp) filter, expected > 249 bp
SRX13158191	Failed mean read length (96 bp) filter, expected > 249 bp
SRX10157789	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12755358	Failed mean read length (147 bp) filter, expected > 249 bp
SRX10157808	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12755428	Failed mean read length (148 bp) filter, expected > 249 bp
SRX12756950	Failed mean read length (98 bp) filter, expected > 249 bp
SRX13166986	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12763919	Failed mean read length (240 bp) filter, expected > 249 bp
SRX12763921	Failed mean read length (147 bp) filter, expected > 249 bp
SRX12764455	Failed mean read length (148 bp) filter, expected > 249 bp
SRX12764866	Failed mean read length (142 bp) filter, expected > 249 bp
SRX12770848	Failed mean read length (100 bp) filter, expected > 249 bp
SRX12770954	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12770965	Failed mean read length (98 bp) filter, expected > 249 bp
SRX12780192	Failed mean read length (100 bp) filter, expected > 249 bp
SRX12780199	Failed mean read length (100 bp) filter, expected > 249 bp
SRX12780318	Failed mean read length (100 bp) filter, expected > 249 bp
SRX12780366	Failed mean read length (100 bp) filter, expected > 249 bp
SRX765304	Failed mean read length (214 bp) filter, expected > 249 bp
SRX12800635	Failed mean read length (97 bp) filter, expected > 249 bp
SRX12800642	Failed mean read length (97 bp) filter, expected > 249 bp
SRX765979	Failed mean read length (240 bp) filter, expected > 249 bp
SRX12833233	Failed mean read length (148 bp) filter, expected > 249 bp
SRX12833249	Failed mean read length (148 bp) filter, expected > 249 bp
SRX12833256	Failed mean read length (149 bp) filter, expected > 249 bp
SRX12841656	Failed mean read length (97 bp) filter, expected > 249 bp
SRX12842237	Failed mean read length (97 bp) filter, expected > 249 bp
SRX12881534	Failed mean read length (148 bp) filter, expected > 249 bp
SRX12964739	Failed mean read length (99 bp) filter, expected > 249 bp
SRX13014980	Failed mean read length (97 bp) filter, expected > 249 bp
SRX13014981	Failed mean read length (97 bp) filter, expected > 249 bp
SRX10171138	Failed mean read length (146 bp) filter, expected > 249 bp
SRX13036005	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10175706	Failed mean read length (148 bp) filter, expected > 249 bp
SRX13036018	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10175765	Failed mean read length (239 bp) filter, expected > 249 bp
SRX13036039	Failed mean read length (96 bp) filter, expected > 249 bp
SRX10175798	Failed mean read length (219 bp) filter, expected > 249 bp
SRX13036040	Failed mean read length (96 bp) filter, expected > 249 bp
SRX590677	Failed mean read length (221 bp) filter, expected > 249 bp
SRX13036041	Failed mean read length (96 bp) filter, expected > 249 bp
SRX590680	Failed mean read length (201 bp) filter, expected > 249 bp
SRX13052848	Failed mean read length (146 bp) filter, expected > 249 bp
SRX590681	Failed mean read length (231 bp) filter, expected > 249 bp
SRX13069229	Failed mean read length (148 bp) filter, expected > 249 bp
SRX590682	Failed mean read length (214 bp) filter, expected > 249 bp
SRX13084569	Failed mean read length (149 bp) filter, expected > 249 bp
SRX590685	Failed mean read length (231 bp) filter, expected > 249 bp
SRX590689	Failed mean read length (228 bp) filter, expected > 249 bp
SRX13103404	Failed mean read length (99 bp) filter, expected > 249 bp
SRX13103773	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10180709	Failed mean read length (100 bp) filter, expected > 249 bp
SRX13113006	Failed mean read length (100 bp) filter, expected > 249 bp
SRX10194088	Failed mean read length (247 bp) filter, expected > 249 bp
SRX13121426	Failed mean read length (243 bp) filter, expected > 249 bp
SRX10194081	Failed mean read length (246 bp) filter, expected > 249 bp
SRX13124209	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10194660	Failed mean read length (243 bp) filter, expected > 249 bp
SRX13124218	Failed mean read length (97 bp) filter, expected > 249 bp
SRX796823	Failed mean read length (237 bp) filter, expected > 249 bp
SRX10206341	Failed mean read length (232 bp) filter, expected > 249 bp
SRX796853	Failed mean read length (239 bp) filter, expected > 249 bp
SRX10206333	Failed mean read length (226 bp) filter, expected > 249 bp
SRX13133067	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10206392	Failed mean read length (235 bp) filter, expected > 249 bp
SRX13133080	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10206385	Failed mean read length (233 bp) filter, expected > 249 bp
SRX13133082	Failed mean read length (98 bp) filter, expected > 249 bp
SRX13133106	Failed mean read length (95 bp) filter, expected > 249 bp
SRX10220952	Failed mean read length (146 bp) filter, expected > 249 bp
SRX13143614	Failed mean read length (99 bp) filter, expected > 249 bp
SRX592741	Failed mean read length (230 bp) filter, expected > 249 bp
SRX799293	Failed mean read length (226 bp) filter, expected > 249 bp
SRX592767	Failed mean read length (239 bp) filter, expected > 249 bp
SRX13167029	Failed mean read length (98 bp) filter, expected > 249 bp
SRX592871	Failed mean read length (237 bp) filter, expected > 249 bp
SRX13167560	Failed mean read length (148 bp) filter, expected > 249 bp
SRX10231295	Failed mean read length (234 bp) filter, expected > 249 bp
SRX13178866	Failed mean read length (148 bp) filter, expected > 249 bp
SRX592977	Failed mean read length (236 bp) filter, expected > 249 bp
SRX13178867	Failed mean read length (147 bp) filter, expected > 249 bp
SRX592979	Failed mean read length (237 bp) filter, expected > 249 bp
SRX13178885	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10237397	Failed mean read length (203 bp) filter, expected > 249 bp
SRX13179024	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10237385	Failed mean read length (248 bp) filter, expected > 249 bp
SRX13179034	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10237587	Failed mean read length (237 bp) filter, expected > 249 bp
SRX13179036	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10238066	Failed mean read length (237 bp) filter, expected > 249 bp
SRX13179038	Failed mean read length (100 bp) filter, expected > 249 bp
SRX10245558	Failed mean read length (238 bp) filter, expected > 249 bp
SRX13179040	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10246631	Failed mean read length (238 bp) filter, expected > 249 bp
SRX13179041	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10246629	Failed mean read length (234 bp) filter, expected > 249 bp
SRX13179090	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10246628	Failed mean read length (234 bp) filter, expected > 249 bp
SRX13179092	Failed mean read length (100 bp) filter, expected > 249 bp
SRX10247090	Failed mean read length (240 bp) filter, expected > 249 bp
SRX13179115	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10247084	Failed mean read length (234 bp) filter, expected > 249 bp
SRX13179135	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10247078	Failed mean read length (234 bp) filter, expected > 249 bp
SRX13179141	Failed mean read length (99 bp) filter, expected > 249 bp
SRX13179186	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10247165	Failed mean read length (201 bp) filter, expected > 249 bp
SRX13181798	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10247153	Failed mean read length (238 bp) filter, expected > 249 bp
SRX10263985	Failed mean read length (148 bp) filter, expected > 249 bp
SRX13181799	Failed mean read length (98 bp) filter, expected > 249 bp
SRX13183677	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10293095	Failed mean read length (233 bp) filter, expected > 249 bp
SRX13183689	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10293090	Failed mean read length (220 bp) filter, expected > 249 bp
SRX13183718	Failed mean read length (97 bp) filter, expected > 249 bp
SRX13185863	Failed mean read length (149 bp) filter, expected > 249 bp
SRX13187198	Failed mean read length (148 bp) filter, expected > 249 bp
SRX10297685	Failed mean read length (100 bp) filter, expected > 249 bp
SRX13210896	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10307094	Failed mean read length (148 bp) filter, expected > 249 bp
SRX13211041	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10313075	Failed mean read length (221 bp) filter, expected > 249 bp
SRX13213808	Failed mean read length (149 bp) filter, expected > 249 bp
SRX10317901	Failed mean read length (242 bp) filter, expected > 249 bp
SRX13237942	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10331551	Failed mean read length (194 bp) filter, expected > 249 bp
SRX13237950	Failed mean read length (100 bp) filter, expected > 249 bp
SRX598017	Failed mean read length (224 bp) filter, expected > 249 bp
SRX13251938	Failed mean read length (149 bp) filter, expected > 249 bp
SRX10331939	Failed mean read length (219 bp) filter, expected > 249 bp
SRX13255635	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10331937	Failed mean read length (248 bp) filter, expected > 249 bp
SRX13255643	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10342520	Failed mean read length (246 bp) filter, expected > 249 bp
SRX13255668	Failed mean read length (95 bp) filter, expected > 249 bp
SRX10342513	Failed mean read length (178 bp) filter, expected > 249 bp
SRX13255673	Failed mean read length (96 bp) filter, expected > 249 bp
SRX10342509	Failed mean read length (245 bp) filter, expected > 249 bp
SRX807339	Failed mean read length (236 bp) filter, expected > 249 bp
SRX13287766	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10342506	Failed mean read length (240 bp) filter, expected > 249 bp
SRX10344442	Failed mean read length (246 bp) filter, expected > 249 bp
SRX10354329	Failed mean read length (148 bp) filter, expected > 249 bp
SRX10356098	Failed mean read length (223 bp) filter, expected > 249 bp
SRX10356943	Failed mean read length (242 bp) filter, expected > 249 bp
SRX13297663	Failed mean read length (238 bp) filter, expected > 249 bp;Failed base count (101893544 bp) filter, expected > 125691225 bp
SRX10357009	Failed mean read length (229 bp) filter, expected > 249 bp
SRX10359231	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10375054	Failed mean read length (242 bp) filter, expected > 249 bp
SRX10375044	Failed mean read length (214 bp) filter, expected > 249 bp
SRX13297650	Failed mean read length (100 bp) filter, expected > 249 bp
SRX10375217	Failed mean read length (188 bp) filter, expected > 249 bp
SRX13316190	Failed mean read length (100 bp) filter, expected > 249 bp
SRX10375740	Failed mean read length (238 bp) filter, expected > 249 bp
SRX13341265	Failed mean read length (146 bp) filter, expected > 249 bp
SRX10379327	Failed mean read length (237 bp) filter, expected > 249 bp
SRX13364249	Failed mean read length (241 bp) filter, expected > 249 bp
SRX10379342	Failed mean read length (231 bp) filter, expected > 249 bp
SRX13366335	Failed mean read length (148 bp) filter, expected > 249 bp
SRX10379680	Failed mean read length (223 bp) filter, expected > 249 bp
SRX13366419	Failed mean read length (149 bp) filter, expected > 249 bp
SRX10379678	Failed mean read length (236 bp) filter, expected > 249 bp
SRX13397741	Failed mean read length (241 bp) filter, expected > 249 bp
SRX10379676	Failed mean read length (213 bp) filter, expected > 249 bp
SRX13397738	Failed mean read length (237 bp) filter, expected > 249 bp
SRX10382457	Failed mean read length (148 bp) filter, expected > 249 bp
SRX13410002	Failed mean read length (238 bp) filter, expected > 249 bp
SRX10386031	Failed mean read length (220 bp) filter, expected > 249 bp
SRX13410083	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10386012	Failed mean read length (236 bp) filter, expected > 249 bp
SRX13427107	Failed mean read length (147 bp) filter, expected > 249 bp
SRX10386007	Failed mean read length (224 bp) filter, expected > 249 bp
SRX13427482	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10386151	Failed mean read length (99 bp) filter, expected > 249 bp
SRX13427492	Failed mean read length (94 bp) filter, expected > 249 bp
SRX10386175	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10394594	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10394620	Failed mean read length (147 bp) filter, expected > 249 bp
SRX10404624	Failed mean read length (232 bp) filter, expected > 249 bp
SRX10405269	Failed mean read length (240 bp) filter, expected > 249 bp
SRX10405994	Failed mean read length (235 bp) filter, expected > 249 bp
SRX10430463	Failed mean read length (96 bp) filter, expected > 249 bp
SRX10430475	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10465788	Failed mean read length (245 bp) filter, expected > 249 bp
SRX10470019	Failed mean read length (149 bp) filter, expected > 249 bp
SRX603843	Failed mean read length (193 bp) filter, expected > 249 bp
SRX603845	Failed mean read length (231 bp) filter, expected > 249 bp
SRX603846	Failed mean read length (230 bp) filter, expected > 249 bp
SRX603851	Failed mean read length (192 bp) filter, expected > 249 bp
SRX604210	Failed mean read length (191 bp) filter, expected > 249 bp
SRX604242	Failed mean read length (233 bp) filter, expected > 249 bp
SRX10500715	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10522382	Failed mean read length (248 bp) filter, expected > 249 bp
SRX10522684	Failed mean read length (204 bp) filter, expected > 249 bp
SRX10523122	Failed mean read length (149 bp) filter, expected > 249 bp
SRX10563825	Failed mean read length (147 bp) filter, expected > 249 bp
SRX10564153	Failed mean read length (237 bp) filter, expected > 249 bp
SRX10564216	Failed mean read length (212 bp) filter, expected > 249 bp
SRX10564213	Failed mean read length (223 bp) filter, expected > 249 bp
SRX10564393	Failed mean read length (221 bp) filter, expected > 249 bp
SRX10564391	Failed mean read length (241 bp) filter, expected > 249 bp
SRX10564389	Failed mean read length (243 bp) filter, expected > 249 bp
SRX10564386	Failed mean read length (201 bp) filter, expected > 249 bp
SRX10564384	Failed mean read length (204 bp) filter, expected > 249 bp
SRX10584106	Failed mean read length (227 bp) filter, expected > 249 bp
SRX10584340	Failed mean read length (230 bp) filter, expected > 249 bp
SRX10584470	Failed mean read length (219 bp) filter, expected > 249 bp
SRX10595851	Failed mean read length (222 bp) filter, expected > 249 bp
SRX10595845	Failed mean read length (222 bp) filter, expected > 249 bp
SRX610816	Failed mean read length (237 bp) filter, expected > 249 bp
SRX610840	Failed mean read length (235 bp) filter, expected > 249 bp
SRX610842	Failed mean read length (198 bp) filter, expected > 249 bp
SRX610858	Failed mean read length (183 bp) filter, expected > 249 bp
SRX10617854	Failed mean read length (143 bp) filter, expected > 249 bp
SRX10641594	Failed mean read length (199 bp) filter, expected > 249 bp
SRX10641592	Failed mean read length (201 bp) filter, expected > 249 bp
SRX10641670	Failed mean read length (230 bp) filter, expected > 249 bp
SRX10666711	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10666713	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10688946	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10701757	Failed mean read length (97 bp) filter, expected > 249 bp
SRX10708722	Failed mean read length (149 bp) filter, expected > 249 bp
SRX10708752	Failed mean read length (148 bp) filter, expected > 249 bp
SRX10724295	Failed mean read length (148 bp) filter, expected > 249 bp
SRX10728729	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10785608	Failed mean read length (122 bp) filter, expected > 249 bp;Failed base count (118097678 bp) filter, expected > 125691225 bp
SRX10785605	Failed mean read length (109 bp) filter, expected > 249 bp
SRX10785603	Failed mean read length (96 bp) filter, expected > 249 bp
SRX10785597	Failed mean read length (117 bp) filter, expected > 249 bp
SRX10785596	Failed mean read length (115 bp) filter, expected > 249 bp
SRX10785593	Failed mean read length (117 bp) filter, expected > 249 bp
SRX10785592	Failed mean read length (110 bp) filter, expected > 249 bp
SRX10785588	Failed mean read length (115 bp) filter, expected > 249 bp
SRX10785585	Failed mean read length (115 bp) filter, expected > 249 bp
SRX10785837	Failed mean read length (138 bp) filter, expected > 249 bp
SRX10810772	Failed mean read length (244 bp) filter, expected > 249 bp
SRX10814613	Failed mean read length (228 bp) filter, expected > 249 bp
SRX10814612	Failed mean read length (189 bp) filter, expected > 249 bp
SRX10815470	Failed mean read length (234 bp) filter, expected > 249 bp
SRX10815451	Failed mean read length (231 bp) filter, expected > 249 bp
SRX10815499	Failed mean read length (228 bp) filter, expected > 249 bp
SRX10816232	Failed mean read length (230 bp) filter, expected > 249 bp
SRX620809	Failed mean read length (227 bp) filter, expected > 249 bp
SRX10857537	Failed mean read length (149 bp) filter, expected > 249 bp
SRX10861511	Failed mean read length (220 bp) filter, expected > 249 bp
SRX10861762	Failed mean read length (145 bp) filter, expected > 249 bp
SRX10861786	Failed mean read length (98 bp) filter, expected > 249 bp
SRX10863467	Failed mean read length (149 bp) filter, expected > 249 bp
SRX10890963	Failed mean read length (235 bp) filter, expected > 249 bp
SRX10898832	Failed mean read length (148 bp) filter, expected > 249 bp
SRX10909115	Failed mean read length (149 bp) filter, expected > 249 bp
SRX10928617	Failed mean read length (99 bp) filter, expected > 249 bp
SRX10949339	Failed mean read length (239 bp) filter, expected > 249 bp
SRX10949333	Failed mean read length (246 bp) filter, expected > 249 bp
SRX10949327	Failed mean read length (247 bp) filter, expected > 249 bp
SRX10950140	Failed mean read length (195 bp) filter, expected > 249 bp
SRX10950137	Failed mean read length (207 bp) filter, expected > 249 bp
SRX10950133	Failed mean read length (242 bp) filter, expected > 249 bp
SRX10950131	Failed mean read length (245 bp) filter, expected > 249 bp
SRX10950130	Failed mean read length (201 bp) filter, expected > 249 bp
SRX10950127	Failed mean read length (247 bp) filter, expected > 249 bp
SRX10950700	Failed mean read length (243 bp) filter, expected > 249 bp
SRX10950699	Failed mean read length (244 bp) filter, expected > 249 bp
SRX10950690	Failed mean read length (248 bp) filter, expected > 249 bp
SRX10950685	Failed mean read length (242 bp) filter, expected > 249 bp
SRX10950682	Failed mean read length (246 bp) filter, expected > 249 bp
SRX10950677	Failed mean read length (242 bp) filter, expected > 249 bp
SRX10950676	Failed mean read length (247 bp) filter, expected > 249 bp
SRX10950675	Failed mean read length (240 bp) filter, expected > 249 bp
SRX10951382	Failed mean read length (149 bp) filter, expected > 249 bp
SRX10957799	Failed mean read length (100 bp) filter, expected > 249 bp
SRX626721	Failed mean read length (230 bp) filter, expected > 249 bp
SRX626725	Failed mean read length (233 bp) filter, expected > 249 bp
SRX10960898	Failed mean read length (144 bp) filter, expected > 249 bp
SRX11026260	Failed mean read length (98 bp) filter, expected > 249 bp
SRX11041569	Failed mean read length (137 bp) filter, expected > 249 bp
SRX11045902	Failed mean read length (150 bp) filter, expected > 249 bp
SRX11060067	Failed mean read length (148 bp) filter, expected > 249 bp
SRX11073933	Failed mean read length (147 bp) filter, expected > 249 bp
SRX11100562	Failed mean read length (201 bp) filter, expected > 249 bp
SRX12419650	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12419738	Failed mean read length (100 bp) filter, expected > 249 bp
SRX12419740	Failed mean read length (96 bp) filter, expected > 249 bp
SRX12419747	Failed mean read length (97 bp) filter, expected > 249 bp
SRX12419786	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12419792	Failed mean read length (100 bp) filter, expected > 249 bp
SRX734181	Failed mean read length (182 bp) filter, expected > 249 bp
SRX12428839	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12428841	Failed mean read length (96 bp) filter, expected > 249 bp
SRX12428859	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12429286	Failed mean read length (100 bp) filter, expected > 249 bp
SRX12429288	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12429293	Failed mean read length (100 bp) filter, expected > 249 bp
SRX736034	Failed mean read length (171 bp) filter, expected > 249 bp
SRX736387	Failed mean read length (140 bp) filter, expected > 249 bp
SRX736388	Failed mean read length (148 bp) filter, expected > 249 bp
SRX12453623	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12453624	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12453655	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12453656	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12458272	Failed mean read length (97 bp) filter, expected > 249 bp
SRX12458296	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12458308	Failed mean read length (96 bp) filter, expected > 249 bp
SRX12458310	Failed mean read length (99 bp) filter, expected > 249 bp;Failed base count (92266153 bp) filter, expected > 125691225 bp
SRX12458313	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12458349	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12458356	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12458363	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12458378	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12458383	Failed mean read length (99 bp) filter, expected > 249 bp
SRX12458387	Failed mean read length (98 bp) filter, expected > 249 bp
