accession	reason
ERX1119945	Failed mean read length (100 bp) filter, expected > 249 bp
ERX7541938	Failed mean read length (74 bp) filter, expected > 249 bp
ERX1119946	Failed mean read length (100 bp) filter, expected > 249 bp
ERX7541939	Failed mean read length (74 bp) filter, expected > 249 bp
ERX1119949	Failed mean read length (100 bp) filter, expected > 249 bp
ERX7541942	Failed mean read length (49 bp) filter, expected > 249 bp
ERX1119951	Failed mean read length (100 bp) filter, expected > 249 bp
ERX7541950	Failed mean read length (74 bp) filter, expected > 249 bp
ERX1119953	Failed mean read length (100 bp) filter, expected > 249 bp
ERX7541957	Failed mean read length (74 bp) filter, expected > 249 bp
ERX1119954	Failed mean read length (100 bp) filter, expected > 249 bp
ERX7541966	Failed mean read length (73 bp) filter, expected > 249 bp
ERX1119956	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119957	Failed mean read length (100 bp) filter, expected > 249 bp
ERX7541986	Failed mean read length (73 bp) filter, expected > 249 bp
ERX1119958	Failed mean read length (178 bp) filter, expected > 249 bp
ERX7541987	Failed mean read length (73 bp) filter, expected > 249 bp
ERX1119959	Failed mean read length (166 bp) filter, expected > 249 bp
ERX7541988	Failed mean read length (74 bp) filter, expected > 249 bp
ERX1119962	Failed mean read length (177 bp) filter, expected > 249 bp
ERX7541990	Failed mean read length (73 bp) filter, expected > 249 bp
ERX1119966	Failed mean read length (184 bp) filter, expected > 249 bp
ERX7541991	Failed mean read length (74 bp) filter, expected > 249 bp
ERX1119967	Failed mean read length (100 bp) filter, expected > 249 bp
ERX7542041	Failed mean read length (73 bp) filter, expected > 249 bp
ERX1119969	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119916	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119976	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119917	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119977	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119918	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119921	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119978	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119923	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119979	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119924	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119981	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119925	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119986	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119926	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119987	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119988	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119928	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119989	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119930	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119992	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119932	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119996	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119935	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120002	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119943	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120003	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119948	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120005	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119950	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120011	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119952	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120012	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120024	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119955	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120025	Failed mean read length (167 bp) filter, expected > 249 bp
ERX1119960	Failed mean read length (168 bp) filter, expected > 249 bp
ERX1120032	Failed mean read length (183 bp) filter, expected > 249 bp
ERX1119961	Failed mean read length (171 bp) filter, expected > 249 bp
ERX1120034	Failed mean read length (175 bp) filter, expected > 249 bp
ERX1119963	Failed mean read length (186 bp) filter, expected > 249 bp
ERX1120038	Failed mean read length (170 bp) filter, expected > 249 bp
ERX1120041	Failed mean read length (175 bp) filter, expected > 249 bp
ERX1119964	Failed mean read length (206 bp) filter, expected > 249 bp
ERX1120043	Failed mean read length (191 bp) filter, expected > 249 bp
ERX1119968	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120045	Failed mean read length (169 bp) filter, expected > 249 bp
ERX1119970	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120046	Failed mean read length (178 bp) filter, expected > 249 bp
ERX1119971	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120049	Failed mean read length (188 bp) filter, expected > 249 bp
ERX1119972	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120050	Failed mean read length (187 bp) filter, expected > 249 bp
ERX1120051	Failed mean read length (179 bp) filter, expected > 249 bp
ERX1119973	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120058	Failed mean read length (167 bp) filter, expected > 249 bp
ERX1119974	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120059	Failed mean read length (168 bp) filter, expected > 249 bp
ERX1119980	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120060	Failed mean read length (164 bp) filter, expected > 249 bp
ERX1119982	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120065	Failed mean read length (168 bp) filter, expected > 249 bp
ERX1119985	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120073	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119990	Failed mean read length (100 bp) filter, expected > 249 bp
